"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5966","TC_011 Checkout with missing first name @negative @checkout","firefox","2026-06-19","passed","2026-06-19","","checkout.spec.ts","",""
"","3349","TC_016 Complete order successfully @regression @checkout","webkit","2026-06-19","passed","2026-06-19","","checkout.spec.ts","",""
"","2365","TC_002 Valid user should login @smoke","webkit","2026-06-19","passed","2026-06-19","","login.spec.ts","",""
"","2270","TC_001 Login page should load @smoke","firefox","2026-06-19","passed","2026-06-19","","login.spec.ts","",""
"","3028","TC_008 Add multiple products to cart @cart @regression","chromium","2026-06-19","passed","2026-06-19","","cart.spec.ts","",""
"","6325","TC_010 Checkout with valid details @checkout","firefox","2026-06-19","passed","2026-06-19","","checkout.spec.ts","",""
"","1","TC_017 Example of Skipped test","firefox","2026-06-19","skipped","2026-06-19","","login.spec.ts","",""
"","2682","TC_012 Checkout with missing postal code @negative @checkout","chromium","2026-06-19","passed","2026-06-19","","checkout.spec.ts","",""
"","2087","TC_001 Login page should load @smoke","webkit","2026-06-19","passed","2026-06-19","","login.spec.ts","",""
"","2595","TC_015 Product details page should open when product name is clicked @regression","webkit","2026-06-19","passed","2026-06-19","","products.spec.ts","",""
"","4664","TC_009 Cart should show selected products @cart","firefox","2026-06-19","passed","2026-06-19","","cart.spec.ts","",""
"","4797","TC_008 Add multiple products to cart @cart @regression","firefox","2026-06-19","passed","2026-06-19","","cart.spec.ts","",""
"","3888","TC_012 Checkout with missing postal code @negative @checkout","webkit","2026-06-19","passed","2026-06-19","","checkout.spec.ts","",""
"","2","TC_017 Example of Skipped test","chromium","2026-06-19","skipped","2026-06-19","","login.spec.ts","",""
"","4402","TC_012 Checkout with missing postal code @negative @checkout","firefox","2026-06-19","passed","2026-06-19","","checkout.spec.ts","",""
"","2992","TC_015 Product details page should open when product name is clicked @regression","firefox","2026-06-19","passed","2026-06-19","","products.spec.ts","",""
"","3348","TC_014 Checkout with all fields empty @negative @checkout","firefox","2026-06-19","passed","2026-06-19","","checkout.spec.ts","",""
"","2420","TC_004 Locked user should not login @negative","webkit","2026-06-19","passed","2026-06-19","","login.spec.ts","",""
"","3619","TC_011 Checkout with missing first name @negative @checkout","webkit","2026-06-19","passed","2026-06-19","","checkout.spec.ts","",""
